system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,agbd,bsi,class,dem,evi,mndwi,ndbi,ndvi,slope,.geo
14,0.032498347372395466,0.1451526681631526,0.06638952362612091,0.03089573414255555,0.04349505594520692,0.026286867147292624,0.07037498741236535,0.19296616483913184,0.2430560198342025,0.24651802213869572,0.272045546818951,0.2722289541461095,120.616379,-0.22664022664831876,1,162.2626,0.45739815933292977,-0.5333174,-0.2551895,0.8017161,19.986725,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.04474578190214228,0.19853943178829775,0.09504050690822359,0.04264089627229196,0.05998629002222868,0.043687751627363915,0.10026453408348694,0.2090798747897792,0.2526358002616429,0.2561981350126925,0.2870455923614438,0.2766095612077208,187.19262242204113,-0.14640183141454044,1,134.52487,0.45973411592612784,-0.5632298,-0.16843139,0.7062427,16.110334,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.028882327123544018,0.13412909561993885,0.059672415087422416,0.027301805914413193,0.04433386236105195,0.025640397753514857,0.07218452547879396,0.19679006176186428,0.24032216573291446,0.249098076195864,0.26218953390078564,0.26901253441327105,355.884949,-0.26231610232751845,1,1078.0059,0.4627682653852158,-0.51590157,-0.29677126,0.8181038,30.592218,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.03172728976333445,0.14389841433094192,0.06631468348817594,0.030800146499643924,0.04565257315226627,0.02739488098379591,0.07689965678450984,0.21000771467544532,0.2613611986033334,0.263465425646972,0.28726760510377025,0.2859186959511698,256.86946820327813,-0.2525346168652634,1,475.03098,0.48822523032192644,-0.5297424,-0.28469813,0.8108551,12.471981,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.03332954661877899,0.14542660521185097,0.06626533419731458,0.0306279481056688,0.04498913207731167,0.026558251490263217,0.0747016653232339,0.2115772093489125,0.26450449434775375,0.26783667336096284,0.29213928214391566,0.29148811524748536,208.332718,-0.26135604045293104,1,466.19058,0.4949818365866695,-0.53272367,-0.29157877,0.81977046,22.0678,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.034437472194320334,0.1568261277315563,0.07437809118688052,0.03332970280260262,0.04893753019581572,0.0334832099302396,0.08114037893120352,0.19731430307396033,0.23697163347486896,0.25021446268801156,0.26875699075731824,0.2658268092991241,192.28959498549247,-0.21756931949593192,1,588.84796,0.43121774746792496,-0.54131925,-0.25580704,0.77052194,25.578484,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.03196369201710341,0.14871503917020976,0.0731156333070537,0.03279611438488495,0.04438927728062108,0.030314651029760935,0.0719236728699126,0.18363604926115215,0.2236812557801466,0.22841677705643237,0.25081552961670794,0.25144374558602534,237.09401212741403,-0.18519598267892656,1,441.10382,0.41657916418161056,-0.54440016,-0.21355684,0.770075,9.236606,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.03906557067262295,0.20447326864163232,0.10959835255270715,0.040673093703578724,0.05773239032728237,0.04981644402795957,0.102840060578228,0.2202809207003391,0.2637435810792403,0.2778675592774718,0.29638443296059436,0.3131346481811927,136.484528,-0.13212103186467042,1,765.459,0.4475551089600361,-0.55949545,-0.16360812,0.70043445,26.953302,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.03850967015068918,0.17398048337784025,0.08465427768337701,0.04011474668353948,0.054838205783163604,0.04093662233641062,0.09072677310988529,0.2056576589138997,0.24791817993389942,0.25683096952262185,0.2807870587207987,0.2817655048452485,56.72872851137542,-0.20930240688787144,1,198.04762,0.46432132153800004,-0.5444873,-0.24136984,0.73532677,9.826847,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.04254220140661217,0.1833135168484533,0.08035822656460047,0.040527957126751106,0.061357847975354866,0.036006296150855634,0.09909544617226473,0.28834213013241466,0.3588122620937836,0.36522519540758475,0.3890310528045085,0.3755457105322717,295.536438,-0.28466559797737306,1,614.9987,0.6421332764481517,-0.49450055,-0.31878996,0.821398,30.114367,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.03582849853846873,0.20568586346634923,0.10119347286700707,0.03509661874361589,0.05585575689502998,0.041073366922419155,0.09900285958128548,0.21382980119704417,0.2568586075851958,0.26652678021155185,0.2917427320193966,0.28917608240221665,224.874573,-0.11651256077735887,1,527.4175,0.4288411288635558,-0.568603,-0.1526624,0.73832375,24.603487,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.03870127143787921,0.186813682814051,0.0880270663823053,0.03663553946301312,0.05353347401433475,0.03395966788986625,0.08877169266262946,0.2420174385550436,0.3080148563829197,0.3151377304336886,0.34219115169850517,0.3305455779781984,73.35317993164062,-0.2222925273118606,1,312.86276,0.5588177960505104,-0.564392,-0.24994886,0.81064165,26.451914,"{""type"":""MultiPoint"",""coordinates"":[]}"
